Month,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Jan,2,3,3,1,0,0,0,0,2,2,3,2,3,2,2,5,5,2,0,5,5,5,2,1,3,3,12,2,0,0,5,4,0,4,0,1,1
Feb,1,0,6,1,1,4,2,3,5,8,0,6,1,2,1,1,3,5,0,3,6,1,11,4,4,3,10,3,7,4,2,3,5,0,2,4,10
Mar,2,1,4,2,1,2,5,8,5,8,5,1,0,0,6,1,8,3,3,8,5,0,10,4,6,5,9,6,6,11,3,7,3,8,4,7,8
Apr,4,5,2,5,2,5,6,6,4,6,3,5,7,11,9,7,12,1,2,5,9,5,13,7,3,14,11,7,12,14,4,12,8,20,6,6,9
May,18,10,12,23,33,11,14,18,28,10,5,7,13,35,21,18,12,30,13,31,15,21,18,9,6,34,25,23,24,28,15,13,21,13,15,13,19
Jun,22,19,31,24,20,12,47,20,68,34,13,16,32,39,61,85,32,16,23,13,50,28,17,18,27,59,85,24,28,13,15,17,22,21,18,30,35
Jul,98,42,20,46,70,62,31,40,70,45,39,25,27,31,64,64,76,42,59,26,51,103,47,92,59,103,178,64,31,53,76,52,43,38,35,27,29
Aug,35,41,10,37,8,22,35,25,23,18,18,38,83,119,67,43,79,25,55,43,82,54,11,40,40,56,58,19,34,28,23,44,41,26,7,17,19
Sep,13,10,5,5,4,3,10,12,7,1,5,12,9,9,26,45,22,2,6,32,10,9,5,19,42,18,16,14,7,18,10,14,1,4,2,9,7
Oct,1,2,0,0,0,0,3,3,6,3,6,3,5,13,3,26,7,1,4,5,3,7,1,6,3,10,13,3,6,11,13,5,1,2,4,5,7
Nov,2,2,2,0,1,0,4,4,1,3,3,4,4,1,0,5,4,3,0,4,1,2,1,0,0,5,2,1,5,8,3,3,1,4,3,2,3
Dec,0,0,1,0,0,0,0,0,1,2,6,1,1,1,1,0,3,0,6,3,1,3,1,1,1,10,4,0,2,3,4,2,0,2,1,2,1
