Month,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Jan,2,1,2,3,1,1,1,3,6,2,4,6,5,0,7,1,9,13,3,6,3,8,6,1,12,2,6,14,1,5,1,1,7,7,7,4,1
Feb,0,3,4,2,2,1,0,4,7,5,6,5,1,2,1,0,4,25,1,4,4,1,6,5,4,2,2,11,1,3,0,5,1,4,1,4,2
Mar,4,0,3,0,4,6,4,4,8,5,9,5,2,4,6,2,13,44,1,4,7,1,7,6,14,2,3,14,10,4,6,7,6,7,11,7,5
Apr,2,5,2,3,11,11,8,14,12,12,8,6,2,8,7,5,114,20,6,18,15,5,10,3,16,7,9,12,12,5,4,9,8,5,9,9,9
May,11,7,9,27,30,11,19,56,25,23,21,14,41,46,22,23,105,27,14,39,26,28,20,18,25,24,38,43,7,31,20,21,16,16,11,8,10
Jun,18,27,25,20,42,45,39,79,97,30,18,20,48,44,71,40,96,33,41,91,51,36,38,37,76,39,58,45,84,26,16,25,23,19,35,19,15
Jul,58,32,35,46,70,49,58,86,86,70,65,55,55,44,85,54,105,54,77,82,46,141,56,99,68,74,83,54,26,41,54,35,28,32,24,25,16
Aug,26,68,56,52,37,54,83,58,90,141,76,45,104,65,37,26,124,49,105,127,78,76,30,66,95,58,46,50,25,33,30,43,41,39,6,20,16
Sep,17,23,30,24,30,26,21,43,40,78,20,60,39,38,42,27,23,36,49,47,21,33,25,79,27,34,26,40,23,17,12,37,15,19,4,7,14
Oct,18,13,12,5,3,16,9,17,25,15,3,13,16,14,5,14,27,2,32,24,10,27,15,18,11,22,14,22,15,7,7,13,3,9,3,4,4
Nov,2,1,0,4,0,2,9,3,6,18,3,4,3,10,1,4,4,2,3,6,5,11,13,11,5,10,9,13,8,2,9,13,12,6,8,1,5
Dec,1,2,4,0,0,8,2,0,6,9,0,1,2,3,0,3,0,2,5,10,2,3,6,3,4,4,4,6,1,2,3,2,1,2,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
