Month,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Jan,6.4,12.6,9.4,8.9,5.6,5,15.6,9.1,4,12.5,9.8,6.8,10.6,6.5,10.7,10.6,10.3,7.5,9.6,11.5,11.6,8,10.8,12.3,9.9,9.5,14.8,4.8,9,11.7,8.9,8.8,12.6,8.5,9.5,9.9,9.7
Feb,11.9,13.9,8.3,10.5,12.3,8.4,12.6,11.1,10.6,7.9,9.7,16.2,13.9,8.8,11.4,15,13.2,8.9,10.4,15.7,15.2,8.8,11.8,9.2,9.3,12.2,12.6,10.5,12,14.9,7.3,9.8,10.3,9.8,12,13.3,14.7
Mar,12.9,14.7,15.6,12.2,13.2,16.2,19.6,13.3,15.1,19.5,15.4,16.5,18.2,15.2,17.5,15.4,16.3,18,12.8,16.5,15.5,14.5,14.3,16.1,18.6,15,15.5,18.7,15.9,17.3,15.3,17.6,21.2,16,16.4,18.7,19
Apr,18.1,25,21,16.4,16.6,22.2,23.5,21.8,20.4,23.1,21.8,21.3,23.1,19.5,20.1,17.7,22.3,16.4,18.7,18.3,22.2,22.3,22.5,21.4,20,20.3,24.5,18.8,20.2,20.1,20.9,22.6,23.6,19.1,21.4,21.7,21
May,22.5,24.3,24.3,22.7,27.2,26.2,26.7,25.4,25.9,26.4,24.1,27.7,25.8,24.8,27,21.3,28.7,24.5,27.6,24.1,28,26.4,25.9,25.8,28.3,25.3,28.1,25.4,25.7,25.9,24.9,26.1,28.5,26.7,26.9,22.6,24.5
Jun,33.8,33.8,29.3,29.2,31.8,32,31.1,31.4,33.3,30,34.8,32.1,29.6,30.6,34.3,29,31.7,30.3,31.6,29.5,31.2,32.4,33.9,30.1,30.4,31.5,34.2,31.5,32.6,31.2,33.1,34.7,36,34.1,31.8,32.2,34.3
Jul,37.6,34.2,33.6,35.7,34.3,34.7,34.7,34.8,34.6,34.6,32.6,33.4,32.3,34.2,34.4,33.6,34.3,33.6,34.2,34.1,35.1,36.6,35.9,37.2,32.7,35.6,35.4,34.7,35.1,33.7,34.1,37.3,37.2,34,33.4,33.8,36
Aug,34.4,31.3,33.1,36.1,34.1,33.7,32.5,32,34.1,31.5,33,32.2,30.7,31.9,33.7,35.7,32.8,30.8,32.7,32.7,35.5,33.9,33.4,34.5,30.6,32.2,32.3,35,31.8,32.5,34.4,36,34.6,33.3,33.4,33.5,32
Sep,29.1,28.8,28.7,30.9,27.9,26.8,28.5,27.9,27.5,28.7,29.9,27.7,30,27.5,29.6,27.9,26.5,28.5,31.1,25.6,30.1,29.8,28.5,27.9,29.1,30.7,25.5,29.8,27.7,28.3,31.3,28.7,29.6,30.1,28.6,31.5,29.8
Oct,23,21,21.9,23.3,18.2,20.8,20.7,23,23.9,23.9,22.9,23.4,24.1,20.6,22.5,23.6,22.8,21.2,21.8,23,21.4,23.2,18.8,24.7,21.7,22.7,21.1,24.6,22,18.4,24.6,23.4,22.7,21.3,24.3,23.5,27.1
Nov,14.4,16.4,14.1,15.4,15.6,11.4,13.3,14.5,16.2,17.7,17.4,10.6,9.4,12.1,13.8,17.8,14.1,11.8,15.9,19.4,9.5,16.6,14.1,14.4,12.6,17.9,16.5,17,16,17.2,15.6,15.6,18.8,14.1,14.3,15,18.4
Dec,14.7,10.5,8.9,5.7,9.6,7.6,8.3,7.5,11.3,9,6.5,8.6,6.1,11.3,12.1,10.5,11,5.9,9.5,10.6,8.1,10.8,10,10.9,11.3,9.5,9.3,7.4,9.8,5.6,11.4,6.7,9.9,7.8,9.3,10.2,9
