Month,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Jan,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,1,1
Feb,1,2,0,1,1,0,0,1,0,0,0,0,0,0,0,2,2,0,1,0,0,1,2,1,0,0,1,0,0,1,0,0,1,0,2,1,1
Mar,0,0,0,0,0,0,1,0,1,0,4,1,3,4,4,1,4,2,1,6,1,2,1,3,9,0,1,1,1,6,1,1,5,2,5,8,0
Apr,4,7,1,0,2,4,0,12,9,3,6,4,13,5,5,3,2,1,0,6,11,3,20,5,4,6,2,3,3,1,10,2,22,1,5,3,1
May,7,8,6,7,12,12,8,7,27,20,17,31,27,38,37,10,23,14,22,18,43,28,21,83,9,14,51,41,5,20,10,4,14,28,19,11,19
Jun,59,54,45,22,22,79,68,60,165,61,48,60,157,46,63,28,206,56,30,111,107,73,76,156,109,91,127,60,47,29,77,62,41,89,31,46,69
Jul,122,97,90,60,80,162,87,101,149,165,161,106,125,96,308,130,143,159,127,130,240,208,130,246,229,164,255,197,164,167,133,125,177,103,132,65,7
Aug,50,104,53,46,83,83,138,34,42,41,127,81,137,80,167,76,188,44,63,56,262,146,131,184,66,101,84,111,80,111,105,103,84,134,37,68,8
Sep,10,26,11,46,30,24,28,41,13,34,31,5,35,80,109,162,26,31,19,27,48,75,31,26,14,58,30,50,23,69,33,44,36,28,9,28,38
Oct,2,0,2,1,0,10,2,20,19,3,2,9,7,9,5,14,13,1,12,13,7,7,2,8,3,1,1,3,10,4,9,10,9,1,2,7,0
Nov,0,1,0,0,0,0,0,0,4,5,0,0,0,9,0,1,1,2,0,7,0,1,1,2,2,0,1,2,4,2,0,1,0,1,1,0,4
Dec,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
