Month,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Feb,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,1,1
Mar,1,0,0,0,1,1,2,3,1,2,1,0,4,0,6,1,2,1,0,4,2,4,2,2,1,3,0,4,2,0,3,0,0,6,1,3,2
Apr,3,2,1,0,1,5,1,13,5,3,1,2,3,2,6,0,6,2,3,4,6,4,1,3,1,3,2,2,2,2,3,0,6,1,3,6,3
May,2,1,3,3,2,6,1,14,8,2,1,1,19,1,9,2,4,4,2,5,4,15,4,6,0,3,9,10,14,5,0,1,15,24,11,7,4
Jun,11,38,19,25,19,44,29,69,35,16,13,4,51,8,34,12,37,71,5,37,43,40,28,38,10,32,42,39,27,18,67,107,46,48,43,37,95
Jul,76,75,58,108,61,103,65,45,44,115,41,79,44,11,88,83,100,136,60,51,97,80,79,47,26,63,77,103,67,96,115,162,94,97,98,38,22
Aug,61,108,78,59,93,45,104,41,52,33,39,53,79,25,85,54,119,101,81,111,83,92,37,40,30,70,84,141,47,60,86,122,95,94,82,44,27
Sep,16,39,17,29,29,8,13,25,18,24,20,21,17,14,21,61,55,32,9,25,28,25,10,22,11,29,38,30,11,17,62,18,25,12,5,2,7
Oct,3,8,7,0,10,8,10,12,18,1,7,7,9,7,0,17,16,11,10,38,4,16,2,16,3,13,9,1,9,1,4,9,15,3,0,5,2
Nov,7,2,0,0,0,0,1,4,1,0,1,0,1,2,0,2,3,0,0,8,0,1,0,0,0,1,1,9,1,1,2,1,1,4,2,0,0
Dec,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0
