Month,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Jan,23.2,24.5,21.9,23.2,23.2,20.8,26.8,21.7,22.2,21.9,23,22.1,22.1,22,24.3,21.5,25.4,22,23.5,23.8,24.5,21.5,22.4,26.2,22.3,23,24.2,20.6,21.2,24.7,22.6,23.5,24.9,21.5,26,24,23
Feb,25.4,26.1,24.7,23,24.8,22.5,25.4,24,26.2,26,23,27.1,24.9,22.8,22.9,27.3,27,24.2,21.5,24.9,25.5,23.1,25.2,23.4,22.2,23.2,25.8,24.5,24.4,25.4,23.2,23.1,24.7,23.2,27.2,27.5,28.5
Mar,25.3,26.1,25.5,25.3,29,25.9,29.5,26.1,29.2,31.5,28.8,23.9,26,28.7,28.4,27.6,29,29.9,25.8,27.1,26,26.9,27,26.9,29.7,26.2,25.7,28.9,27.7,27.9,26.8,28.9,27.8,29.2,29.1,30.9,29.6
Apr,30.7,33,31.1,28,30.2,33.5,32,34.1,31,35.7,32.6,30.7,33.6,33,32.2,30.3,33.8,30.3,28.1,27.9,32.2,29.8,32,29.3,30.6,30.5,31.3,31,31.4,30.7,29.5,31.7,32,32,32.2,32.1,31.9
May,32.9,35.4,35.4,36.2,39.7,37.1,36.7,35.4,36.1,37.2,35.1,35,36.5,37.7,35.7,34.2,38.4,38.7,34.2,34.6,37.4,37.6,35.7,36,37.2,36.4,37.2,36,34.9,37.3,34.6,34.7,37.1,37,37.4,34.5,35.5
Jun,41.9,43.2,39.8,40.1,40.2,43,42.4,42.1,42,41.9,43.1,38.9,40.9,41.7,43.4,40.4,43.3,40.6,39.7,39.5,41.1,41.8,41.7,40.3,40.7,40.4,42.6,41,41.9,39.6,41.3,41.3,42,42.9,42.5,42.7,43
Jul,43.7,42.9,42,42.6,40.8,43,41.1,42.1,42.9,44.3,42,42.4,42,42.2,43.6,44,43.7,42.3,42.3,40.6,42,41.7,41.7,43.1,42.1,43.2,43.2,42.2,41.6,42.9,42.4,42.5,41.4,42.5,43.4,42.5,43.4
Aug,41.2,42.4,40.9,40.1,39.7,42.4,41.9,41.2,41,41,40.3,41.5,41.8,41.6,43.5,43.5,43.1,41.1,41.9,39.8,40.7,40.7,40.8,41,40.1,40.1,40.3,41.4,40.8,41.8,41.3,42,42.5,40.8,40.7,42.7,40.9
Sep,39.7,39.9,38,39.8,40.1,36.1,36.3,39.8,39.1,40.1,39,39.3,40.8,40.2,40.7,41.1,38.5,40,38.6,37.8,39.5,39.7,38.8,39,39,38.6,37.6,38.7,39,39.6,39.9,39.4,39.7,38.8,39.7,40.5,38.7
Oct,34.8,32,33.1,33.4,31.4,32.5,32.7,35.9,36.9,34.6,35.2,35.8,35.6,34.2,33.2,35.9,34.4,33.3,33.4,35.4,30.9,34,31.9,34.9,32.1,33.2,32.9,34.3,35.1,32.5,33.8,34.2,35.4,33,35.8,35.3,36.1
Nov,28.8,30.2,25.4,26.9,26.4,25.4,27.8,26.7,28.6,29.7,28.4,26.8,26.1,26.2,24.8,30.5,29.1,28,27.8,29.6,24.1,27.9,28.1,26.4,25.3,29.1,29.2,28.7,29,28.8,27.6,26.6,29.5,28.2,29.2,27.3,29.5
Dec,27.3,26.2,21.3,23.4,21,23.7,23.5,21.2,23.7,24.2,21.6,22.6,20.6,23.6,22.5,24.9,24,22.2,23.1,23.7,24.4,22,22,23.2,22.8,24.4,22.7,21.8,22.9,21.8,25.3,21.5,23.3,23.6,24.1,23.4,24.4
