Month,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Jan,22.5,24.2,20.6,22.9,23.2,20.4,25.4,21.2,21.3,20.1,21.7,21.3,21.6,20.2,23.8,20.3,24.4,21.5,22.2,22.7,23.4,21,21.2,25.7,21.2,21.9,23,20.3,20.2,23.7,22.1,22.7,24.1,21.1,25.7,23.8,22.2
Feb,24.6,25.6,24.2,23.1,25.3,22.6,24.8,23.8,25.9,23.7,22.4,26.6,24.6,22,21.8,26.4,25.7,23.8,21.4,23.9,24.6,22,25.3,22.7,21.7,22.9,25.2,24.1,23.1,23.8,22.7,22.6,24.2,22.7,26.4,27.3,28.3
Mar,25.2,26.1,25.1,25.3,29.3,25.7,29.2,25.8,29.4,30.4,28.2,23.1,25.4,28.6,28.3,27,28.8,30,26.1,26.3,25.7,26.9,26.6,26.9,29.7,26.2,24.5,28.9,27.3,27.2,26.6,28,27.3,28.7,29.1,30.9,29.1
Apr,30.8,32.4,30.9,28,30.3,33.1,31.5,33.9,30.7,34.9,32,30.3,33.1,32.9,31.4,30.2,33.7,30.5,28.3,27.6,31.4,29.3,31.4,28.8,30.9,30.2,30.5,31,31.2,30.5,29,31,31.4,31.6,32.2,31.9,31.9
May,32.7,35.5,35.3,36,39.6,36.3,36.7,35.5,36.1,36.3,34.9,34.3,36.7,37.1,34.7,33.4,38,39.1,33.1,34,36.9,37.6,35.2,35.4,36.7,36,36.5,35.9,34.4,36.8,33.8,34.3,36.3,36.5,37.2,33.9,34.9
Jun,40.6,42.9,38.4,39.2,39.6,42.1,41.6,41.2,40,40.7,41.9,38,39.7,41,42.4,39.1,42.1,39.5,38.3,38.5,40.4,41,40.5,39.5,39.8,39.1,41.9,40,40.8,38.4,39.6,39.4,40.3,41.5,41,41.3,41.8
Jul,43,42.8,41.7,42.3,41.7,43.2,40.7,41.1,43.2,43.4,42.2,41.1,41.6,40.8,42.6,42.9,43.5,41.8,42,40.1,41,40.9,41.7,42.6,41.6,42.6,43.6,42.2,41.7,42.1,41.7,41.5,40.6,42.2,42.8,41.9,42.3
Aug,41.4,42.7,40.6,40.3,40.5,42.1,42,41,41,40.6,40.6,40.7,42.4,41.2,43,43.2,42.8,41.3,42.2,39.6,40.6,40.8,40.5,41,40.3,40.3,40.5,41.4,41,41.4,40.6,41.5,42,40.6,40.9,42.5,40.7
Sep,39.7,40.1,38.3,39.6,40.3,36,36.4,39.8,39.4,40,39.2,39,40.3,40.1,40.4,40.9,38.5,40.3,38.3,37.9,39.6,39.9,39,39.2,39.2,38.4,37.8,38.7,39.2,39.8,39.6,39.3,39.6,39,39.9,40.5,38.8
Oct,34.8,31.9,33.6,33.6,31.5,32.8,32.3,35.1,35.9,33.8,34.9,35.5,34.6,34.2,33,35.6,33.6,33.2,33,35.3,30.9,33.8,31.4,35,31.6,33,32.5,33.6,35,32.1,33.2,33.6,35,32.6,35.6,35.3,35.5
