Month,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Jan,3.6,6.4,2.4,6.8,4.2,-0.2,6.6,4.9,2.6,3.9,6.5,3,6.7,0.9,7.1,5.4,5,3.6,6.6,6.4,5.6,3.9,5.2,8.2,1.2,3.1,8.1,3.6,2.8,4.3,5.7,4.6,6.6,2.2,5.5,5.7,4.3
Feb,9.4,8.9,4.8,9.3,8.8,3.2,9,9.3,10,2.2,7.6,13,12.8,3.4,6.8,12.1,7.3,7.2,9.1,8.1,9,5,7.8,7.7,6.9,9,7.5,8.2,8,7.3,8.9,5.8,7.8,8.2,7.1,12,10.7
Mar,11.6,14.4,11.4,12.9,11.5,9.7,15.9,13.1,14.1,11.6,15.1,12.6,18.2,10.8,16.4,12.7,14.2,13.5,12.6,12.9,12.8,13.6,9.9,13.9,16.5,14.2,11.3,15.8,11,10.7,13.4,11.7,13.7,14.3,13.7,16.9,14.4
Apr,19,17.7,14.7,15.6,14.6,19.4,16.8,22.6,19.7,19.5,21,15.8,20.8,15.4,19,16.1,17,15.2,16.8,15.5,19.8,15.9,17.4,15.9,19.4,17,17.2,17.5,15.3,16.5,16.2,13.7,18.9,17,17.8,18.2,20.6
May,21.4,20.6,21.4,22.1,20.6,23.3,22.9,25.1,23,22.3,20.9,20.2,27.3,24.8,24.3,21.4,20.2,24.6,21.4,20.6,22.8,25.7,22,22.3,22,21.8,23.8,24.4,22.6,24,18.9,19.5,22.7,23.8,24.3,24.1,23.6
Jun,25.7,26.2,27.1,26.6,24.8,28.9,31.3,29.4,30.5,29,27.5,25.9,30,24.4,29.1,25.6,28.1,26.2,25.4,26.3,29,28.1,28.7,29.7,28.4,25.9,29.3,29.3,27.5,26.8,25.7,25.1,27.8,29.3,27.7,32.8,30.4
Jul,32.3,32.6,30.2,30,33,35.1,30.1,30.7,34.7,34.9,34.2,34.4,31.2,27.6,34.9,31.5,34.3,31,35,32.1,33.2,32.6,35.1,36.6,34.2,34.9,36.2,35.8,34,34.2,33.1,32.3,35,36.4,36.1,33.8,32.9
Aug,29.7,34.3,32.1,32,32.2,30,33.8,31.3,32.9,30.1,31.8,34.1,33.2,29.3,34.2,31.4,32.6,32.7,34,31.8,32.9,34.4,31.1,33.6,31.9,33.2,32.4,32.8,32.6,31.8,31.3,33.9,34.6,34,32.1,33.1,33.1
Sep,25.2,27.3,24,25.6,25.1,20.8,21.3,29.2,26,27.1,30.4,27.7,26.2,26.9,28.8,27.6,24.5,26.7,28.3,26.4,25.1,29.3,26.4,27.5,25.2,25.6,26.7,25.9,26.9,29.1,27.5,29.9,28.9,26.4,27.5,27.2,25.3
Oct,19.7,16.3,16.8,19.5,15.2,17.2,19.9,22.9,24.3,17.7,19,19.4,21.2,19.5,18.2,18.2,18.7,18.2,17.3,20.7,17.5,19.9,17.2,22.3,18,19.1,17.6,17.8,19,15.4,19.5,18.9,19.2,17.4,21.9,21.6,19.2
Nov,10.7,12,7.9,10.1,8.4,4.5,10.8,10.9,9.2,11.7,11.4,8,6.7,8.5,5.7,13.1,11.6,11,10.7,13.8,5.4,11.9,10.5,7.9,9.8,10.1,10.9,11.3,12.4,11.4,8.3,9.7,12.5,10.8,9.5,8.7,13.8
Dec,7.3,6.4,3.8,0.2,1.1,2.2,5.7,5.6,4,6.8,0.1,6.6,2.5,5.8,4.5,6.2,5.8,5.5,4.1,7.3,3.9,3.9,6.6,5.9,6.5,3.5,5.1,4.3,4.1,0.6,4.8,5.1,5.5,2.4,6.6,4.4,2.1
