DAY,WEEK,MONTH,YEAR,LATITUDE,LONGITUDE,DEM_Value,Aspect_Value,Slope_Value,Filename,NDVI_Value
01,01,01,2012,35.61633,-117.59331,767.839539,328.8778,1.931326,2012_01.tif,2689.0
04,01,01,2012,33.67964,-115.97778000000001,512.75885,187.5659,0.73252,2012_01.tif,1067.0
08,02,01,2012,39.0755,-123.12703,445.220123,226.9356,25.7907,2012_02.tif,5285.0
18,03,01,2012,33.796392,-117.248088,523.218506,116.3904,10.4299,2012_03.tif,3641.0
29,05,01,2012,32.9011,-115.9997,106.684807,0.461864,4.96353,2012_05.tif,874.0
31,05,01,2012,35.3481,-116.083,291.877136,217.0192,1.757984,2012_05.tif,873.0
31,05,01,2012,35.002140000000004,-118.16944,837.366638,167.3415,13.54691,2012_05.tif,1613.0
19,08,02,2012,32.9508,-115.1522,79.991158,67.12194,0.183263,2012_08.tif,948.0
06,10,03,2012,35.5608,-117.6456,969.850037,25.40466,7.929291,2012_10.tif,1022.0
12,11,03,2012,33.6178,-115.133,159.72905,40.26525,0.74117,2012_11.tif,648.0
15,11,03,2012,32.8853,-114.4861,58.656662,106.3222,1.710827,2012_11.tif,1436.0
16,11,03,2012,33.676970000000004,-115.56532,427.431,296.5651,0.00019,2012_11.tif,1139.0
25,13,03,2012,33.86144,-116.31886000000002,232.721161,192.4619,1.75566,2012_13.tif,634.0
31,13,03,2012,32.73796,-114.94332,75.27932,17.50146,5.734737,2012_13.tif,891.0
09,15,04,2012,36.2942,-117.9989,1100.105591,359.6365,0.561827,2012_15.tif,526.0
11,15,04,2012,35.616,-117.6006,756.235535,198.8015,2.670215,2012_15.tif,1137.0
12,15,04,2012,35.61608,-117.60075,756.337952,198.7121,4.991838,2012_15.tif,1137.0
22,17,04,2012,35.147420000000004,-118.19888999999999,1191.632935,197.8656,8.541583,2012_17.tif,5446.0
23,17,04,2012,33.415,-114.6614,<Null>,<Null>,<Null>,2012_17.tif,4891.0
28,17,04,2012,33.3769,-114.7092,<Null>,<Null>,<Null>,2012_17.tif,2885.0
28,17,04,2012,32.67242,-116.09867,660.435791,153.4393,4.93665,2012_17.tif,2051.0
29,18,04,2012,34.64,-117.0669,1196.746338,28.80455,3.407136,2012_18.tif,1538.0
02,18,05,2012,36.3739,-120.7436,945.757385,240.9797,20.09515,2012_18.tif,4243.0
05,18,05,2012,35.42,-117.9792,974.922607,303.8587,5.630505,2012_18.tif,1192.0
06,19,05,2012,33.78022,-117.42078000000001,636.593994,15.82814,19.5235,2012_19.tif,2596.0
12,19,05,2012,33.04994,-116.52275,1105.155762,82.12206,4.582784,2012_19.tif,4895.0
17,20,05,2012,33.4517,-117.21152,435.950745,19.3351,19.17114,2012_20.tif,6112.0
17,20,05,2012,32.607709,-116.242944,<Null>,<Null>,<Null>,2012_20.tif,2811.0
18,20,05,2012,34.01706,-116.58086000000002,611.035156,85.9319,13.45561,2012_20.tif,1428.0
18,20,05,2012,33.451190000000004,-116.8475,735.247131,196.828,20.25432,2012_20.tif,2512.0
22,21,05,2012,35.87011,-117.88188999999998,841.498108,175.6709,3.34891,2012_21.tif,1049.0
22,21,05,2012,32.68058,-116.09392,638.906921,114.5444,2.205635,2012_21.tif,1628.0
