DAY,WEEK,MONTH,YEAR,LATITUDE,LONGITUDE,filename,value
01,01,01,2001,36.6063,-118.0915,20010101.tif,841.0
02,01,01,2001,38.1674,-120.5521,20010101.tif,6965.0
03,01,01,2001,32.7667,-116.8009,20010101.tif,4456.0
06,01,01,2001,34.481819,-118.37066100000001,20010101.tif,38.0
07,02,01,2001,37.879539,-120.423181,20010102.tif,6671.0
08,02,01,2001,33.4394,-117.19781100000002,20010102.tif,5652.0
13,02,01,2001,33.76435,-117.30155,20010102.tif,2477.0
15,03,01,2001,35.616792,-118.48885600000001,20010103.tif,3042.0
08,06,02,2001,38.747969,-122.714561,20010206.tif,889.0
18,12,03,2001,40.4549,-122.8128,20010312.tif,5829.0
08,15,04,2001,36.687981,-118.24588100000001,20010415.tif,2969.0
13,15,04,2001,41.592560999999996,-122.92598899999999,20010415.tif,4911.0
20,16,04,2001,33.735819,-116.50403100000001,20010416.tif,1867.0
25,17,04,2001,40.415789000000004,-120.52211100000001,20010417.tif,2241.0
27,17,04,2001,35.3494,-115.9417,20010417.tif,1514.0
01,18,05,2001,38.170389,-120.54723100000001,20010518.tif,7076.0
02,18,05,2001,39.02025,-120.94346100000001,20010518.tif,7619.0
05,18,05,2001,38.055381,-120.53451899999999,20010518.tif,7467.0
06,19,05,2001,35.0786,-116.4011,20010519.tif,913.0
08,19,05,2001,35.0497,-119.3948,20010519.tif,2225.0
10,19,05,2001,40.2665,-122.1878,20010519.tif,4785.0
11,19,05,2001,39.3307,-120.9538,20010519.tif,7500.0
13,20,05,2001,34.012269,-116.65876100000001,20010520.tif,2819.0
15,20,05,2001,35.3128,-115.9072,20010520.tif,1442.0
16,20,05,2001,33.7317,-115.2422,20010520.tif,1060.0
17,20,05,2001,32.7167,-115.2341,20010520.tif,2535.0
20,21,05,2001,33.664011,-115.756231,20010521.tif,1161.0
20,21,05,2001,32.629,-116.1486,20010521.tif,1833.0
