CONTRDATED,TOTALACRES,SEASON,CLASS,,,,,,,,,,,
1/17/1980,1,WINTER,B,Row Labels,Count of SEASON,,,,,,,,,
1/24/1980,0,WINTER,A,FALL,39,24.53%,,,,,,,,
3/27/1980,5,SPRING,B,SPRING,17,10.69%,,,,,,,,
3/28/1980,0,SPRING,A,SUMMER,100,62.89%,,,,,,,,
3/31/1980,1,SPRING,B,WINTER,3,3.00%,,Season,Frequency,percentage,,,,
3/31/1980,4,SPRING,B,Grand Total,159,,,Winter,3,1.92%,,,,
4/14/1980,52,SPRING,C,Row Labels,Count of CLASS,,,Spring,16,10.26%,,,,
4/17/1980,50,SPRING,C,A,89,55.97%,,Summer,99,63.46%,,,,
5/14/1980,0,SPRING,A,B,20,12.58%,,Fall,38,24.36%,,,, 
5/14/1980,0,SPRING,A,C,15,9.43%,,Total,156,,,,,
5/15/1980,0,SPRING,A,D,11,6.92%,,,,,,,,
5/17/1980,38,SPRING,C,E,13,8.18%,,,,,,,,
5/20/1980,1630,SPRING,F,F,8,5.03%,,,,,,,,
5/22/1980,0.1,SPRING,A,G,3,1.89%,,,,,,,,
5/22/1980,350,SPRING,E,Grand Total,159,,,,,,,,,
5/25/1980,10,SPRING,C,,,,,,,,,,,
5/25/1980,400,SPRING,E,,,,,,,,,,,
5/26/1980,0,SPRING,A,,,,,,,,,,,
5/27/1980,0,SPRING,A,,,,,,,,,,,
6/2/1980,45,SUMMER,C,,,,,,,,,,,
6/2/1980,0,SUMMER,A,,,,,,,,,,,
6/7/1980,0,SUMMER,A,,,,,,,,,,,
6/7/1980,0,SUMMER,A,,,,,,,,,,,
6/9/1980,577,SUMMER,E,,,,,,,,,,,
6/11/1980,47,SUMMER,C,,,,,,,,,,,
6/11/1980,4,SUMMER,B,,,,,,,,,,,
6/14/1980,40,SUMMER,C,,,,,,,,,,,
6/15/1980,0,SUMMER,A,,,,,,,,,,,
6/15/1980,0,SUMMER,A,,,,,,,,,,,
6/17/1980,3,SUMMER,B,,,,,,,,,,,
6/25/1980,0,SUMMER,A,,,,,,,,,,,
6/28/1980,0,SUMMER,A,,,,,,,,,,,
6/29/1980,3,SUMMER,B,,,,,,,,,,,
6/29/1980,180,SUMMER,D,,,,,,,,,,,
6/30/1980,450,SUMMER,E,,,,,,,,,,,
7/1/1980,1600,SUMMER,F,,,,,,,,,,,
7/1/1980,2000,SUMMER,F,,,,,,,,,,,
7/1/1980,0,SUMMER,A,,,,,,,,,,,
7/1/1980,0,SUMMER,A,,,,,,,,,,,
7/1/1980,0,SUMMER,A,,,,,,,,,,,
7/1/1980,0,SUMMER,A,,,,,,,,,,,
7/3/1980,15,SUMMER,C,,,,,,,,,,,
7/4/1980,0,SUMMER,A,,,,,,,,,,,
7/5/1980,350,SUMMER,E,,,,,,,,,,,
7/5/1980,200,SUMMER,D,,,,,,,,,,,
7/5/1980,35,SUMMER,C,,,,,,,,,,,
7/5/1980,20,SUMMER,C,,,,,,,,,,,
7/7/1980,890,SUMMER,E,,,,,,,,,,,
7/12/1980,0.1,SUMMER,A,,,,,,,,,,,
7/12/1980,0,SUMMER,A,,,,,,,,,,,
7/13/1980,0,SUMMER,A,,,,,,,,,,,
7/13/1980,0,SUMMER,A,,,,,,,,,,,
7/13/1980,0,SUMMER,A,,,,,,,,,,,
7/17/1980,204,SUMMER,D,,,,,,,,,,,
7/21/1980,3059,SUMMER,F,,,,,,,,,,,
7/23/1980,2,SUMMER,B,,,,,,,,,,,
7/23/1980,850,SUMMER,E,,,,,,,,,,,
7/23/1980,0,SUMMER,A,,,,,,,,,,,
7/24/1980,400,SUMMER,E,,,,,,,,,,,
7/24/1980,0,SUMMER,A,,,,,,,,,,,
7/24/1980,1,SUMMER,B,,,,,,,,,,,
7/25/1980,4,SUMMER,B,,,,,,,,,,,
7/25/1980,2240,SUMMER,F,,,,,,,,,,,
7/25/1980,0,SUMMER,A,,,,,,,,,,,
7/26/1980,280,SUMMER,D,,,,,,,,,,,
7/26/1980,0,SUMMER,A,,,,,,,,,,,
7/26/1980,0,SUMMER,A,,,,,,,,,,,
7/26/1980,0,SUMMER,A,,,,,,,,,,,
7/26/1980,2,SUMMER,B,,,,,,,,,,,
7/27/1980,40,SUMMER,C,,,,,,,,,,,
7/27/1980,1,SUMMER,B,,,,,,,,,,,
7/27/1980,0,SUMMER,A,,,,,,,,,,,
7/28/1980,200,SUMMER,D,,,,,,,,,,,
7/28/1980,0,SUMMER,A,,,,,,,,,,,
7/28/1980,0,SUMMER,A,,,,,,,,,,,
7/28/1980,0,SUMMER,A,,,,,,,,,,,
7/28/1980,0,SUMMER,A,,,,,,,,,,,
